Counties,Measure Names,Measure Values
ORANGE,Trailers,118689
NEVADA,Trailers,25830
NAPA,Trailers,16857
MONTEREY,Trailers,35616
MONO,Trailers,3403
MODOC,Trailers,4053
MERCED,Trailers,29110
MENDOCINO,Trailers,21128
MARIPOSA,Trailers,6116
MARIN,Trailers,11670
MADERA,Trailers,25206
LOS ANGELES,Trailers,300306
LASSEN,Trailers,9908
LAKE,Trailers,17137
KINGS,Trailers,15066
KERN,Trailers,106117
INYO,Trailers,5681
IMPERIAL,Trailers,23139
HUMBOLDT,Trailers,28088
GLENN,Trailers,9428
FRESNO,Trailers,94709
EL DORADO,Trailers,38846
DEL NORTE,Trailers,5450
CONTRA COSTA,Trailers,63320
COLUSA,Trailers,8340
CALAVERAS,Trailers,16129
BUTTE,Trailers,46268
AMADOR,Trailers,11024
ALPINE,Trailers,399
ALAMEDA,Trailers,57523
IRP VEHICLES **,Trucks,
STATEWIDE,Trucks,6101512
FEE EXEMPT VEHICLES,Trucks,289192
MISC VEHICLES *,Trucks,
OUT OF STATE,Trucks,35456
YUBA,Trucks,16077
YOLO,Trucks,36833
VENTURA,Trucks,139898
TUOLUMNE,Trucks,20864
TULARE,Trucks,99968
TRINITY,Trucks,6158
TEHAMA,Trucks,19668
SUTTER,Trucks,24466
STANISLAUS,Trucks,111180
SONOMA,Trucks,112946
SOLANO,Trucks,72621
SISKIYOU,Trucks,18691
SIERRA,Trucks,1644
SHASTA,Trucks,51207
SANTA CRUZ,Trucks,51923
SANTA CLARA,Trucks,197675
SANTA BARBARA,Trucks,80502
SAN MATEO,Trucks,87758
SAN LUIS OBISPO,Trucks,66316
SAN JOAQUIN,Trucks,131045
SAN FRANCISCO,Trucks,55645
SAN DIEGO,Trucks,473340
SAN BERNARDINO,Trucks,352320
SAN BENITO,Trucks,15650
SACRAMENTO,Trucks,221756
RIVERSIDE,Trucks,375313
PLUMAS,Trucks,9159
PLACER,Trucks,77057
ORANGE,Trucks,413661
NEVADA,Trucks,29628
NAPA,Trucks,30902
MONTEREY,Trucks,80948
MONO,Trucks,4276
MODOC,Trucks,4229
MERCED,Trucks,54143
MENDOCINO,Trucks,33220
MARIPOSA,Trucks,7765
MARIN,Trucks,31985
MADERA,Trucks,34061
LOS ANGELES,Trucks,1103918
LASSEN,Trucks,10337
LAKE,Trucks,22437
KINGS,Trucks,27207
KERN,Trucks,189167
INYO,Trucks,7716
IMPERIAL,Trucks,43795
HUMBOLDT,Trucks,42354
GLENN,Trucks,10306
FRESNO,Trucks,179820
EL DORADO,Trucks,47586
DEL NORTE,Trucks,7032
CONTRA COSTA,Trucks,151888
COLUSA,Trucks,8258
CALAVERAS,Trucks,20470
BUTTE,Trucks,54297
AMADOR,Trucks,15518
ALPINE,Trucks,776
ALAMEDA,Trucks,181484
IRP VEHICLES **,Autos,
STATEWIDE,Autos,25457918
FEE EXEMPT VEHICLES,Autos,213381
MISC VEHICLES *,Autos,
OUT OF STATE,Autos,99953
YUBA,Autos,40050
YOLO,Autos,119215
VENTURA,Autos,590657
TUOLUMNE,Autos,40336
TULARE,Autos,228683
TRINITY,Autos,8664
TEHAMA,Autos,34426
SUTTER,Autos,56091
STANISLAUS,Autos,306623
SONOMA,Autos,346403
SOLANO,Autos,291731
SISKIYOU,Autos,30781
SIERRA,Autos,2588
SHASTA,Autos,109463
SANTA CRUZ,Autos,180188
SANTA CLARA,Autos,1382217
SANTA BARBARA,Autos,276471
SAN MATEO,Autos,620314
SAN LUIS OBISPO,Autos,186504
SAN JOAQUIN,Autos,427138
SAN FRANCISCO,Autos,413147
SAN DIEGO,Autos,2215741
SAN BERNARDINO,Autos,1266253
SAN BENITO,Autos,38119
SACRAMENTO,Autos,951840
RIVERSIDE,Autos,1390232
PLUMAS,Autos,14952
PLACER,Autos,278803
ORANGE,Autos,2303011
NEVADA,Autos,72305
NAPA,Autos,96818
MONTEREY,Autos,265512
MONO,Autos,9139
MODOC,Autos,5112
MERCED,Autos,139610
MENDOCINO,Autos,60393
MARIPOSA,Autos,13877
MARIN,Autos,198071
MADERA,Autos,78091
LOS ANGELES,Autos,6481351
LASSEN,Autos,15780
LAKE,Autos,47614
KINGS,Autos,68026
KERN,Autos,437455
INYO,Autos,13814
IMPERIAL,Autos,121565
HUMBOLDT,Autos,80805
GLENN,Autos,16525
FRESNO,Autos,511209
EL DORADO,Autos,134675
DEL NORTE,Autos,14619
CONTRA COSTA,Autos,835183
COLUSA,Autos,12791
CALAVERAS,Autos,38033
BUTTE,Autos,128646
AMADOR,Autos,29423
ALPINE,Autos,2169
ALAMEDA,Autos,1065332
