# Title: July 2021 - June 2022 Contiguous U.S. County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ID-009,Benewah County,Idaho,33.83,2.45,82,31.38
ID-011,Bingham County,Idaho,12.76,-0.74,52,13.5
ID-013,Blaine County,Idaho,17.07,-1.73,53,18.8
ID-015,Boise County,Idaho,31.01,0.46,71,30.55
ID-017,Bonner County,Idaho,39.15,3.21,89,35.94
ID-019,Bonneville County,Idaho,20.45,0.11,59,20.34
ID-021,Boundary County,Idaho,44.89,6.8,109,38.09
ID-023,Butte County,Idaho,11.87,-1.7,44,13.57
ID-025,Camas County,Idaho,21.21,-3.17,49,24.38
ID-027,Canyon County,Idaho,9.64,0.09,75,9.55
ID-029,Caribou County,Idaho,22.38,-0.04,65,22.42
ID-031,Cassia County,Idaho,15.6,0.1,72,15.5
ID-033,Clark County,Idaho,16.29,-0.82,54,17.11
ID-035,Clearwater County,Idaho,48.48,1.72,87,46.76
ID-037,Custer County,Idaho,22.97,0.4,74,22.57
ID-039,Elmore County,Idaho,20.07,-0.09,68,20.16
ID-041,Franklin County,Idaho,20.87,-2.17,48,23.04
ID-043,Fremont County,Idaho,20.67,-1.01,53,21.68
ID-045,Gem County,Idaho,18.39,-0.39,59,18.78
ID-047,Gooding County,Idaho,9.76,-1.42,47,11.18
ID-049,Idaho County,Idaho,39.49,1.98,89,37.51
ID-051,Jefferson County,Idaho,8.32,-1.37,46,9.69
ID-053,Jerome County,Idaho,8.96,-0.76,54,9.72
ID-055,Kootenai County,Idaho,34.38,2.04,83,32.34
ID-057,Latah County,Idaho,35.57,4.98,106,30.59
ID-059,Lemhi County,Idaho,19.24,-1.92,47,21.16
ID-061,Lewis County,Idaho,29.92,4.46,113,25.46
ID-063,Lincoln County,Idaho,8.96,-1.56,40,10.52
ID-065,Madison County,Idaho,13.09,-1.75,39,14.84
ID-067,Minidoka County,Idaho,9.6,-0.12,71,9.72
ID-069,Nez Perce County,Idaho,26.43,4.47,112,21.96
ID-071,Oneida County,Idaho,16.23,-2.28,44,18.51
ID-073,Owyhee County,Idaho,12.48,-0.08,62,12.56
ID-075,Payette County,Idaho,11.87,-0.91,56,12.78
ID-077,Power County,Idaho,15.72,-0.18,73,15.9
ID-079,Shoshone County,Idaho,51.51,3.99,90,47.52
ID-081,Teton County,Idaho,22.09,-0.65,53,22.74
ID-083,Twin Falls County,Idaho,11.46,-1.06,54,12.52
ID-085,Valley County,Idaho,32.85,-3.29,47,36.14
ID-087,Washington County,Idaho,19.13,-1.5,51,20.63
IL-001,Adams County,Illinois,38.75,1.98,71,36.77
IL-003,Alexander County,Illinois,51.49,6.32,101,45.17
IL-005,Bond County,Illinois,43.02,3.72,85,39.3
IL-007,Boone County,Illinois,31.28,-2.8,37,34.08
IL-009,Brown County,Illinois,41.25,4.51,92,36.75
IL-011,Bureau County,Illinois,33.54,-1.57,51,35.11
IL-013,Calhoun County,Illinois,41.28,3.51,79,37.77
IL-015,Carroll County,Illinois,30.93,-3.58,35,34.51
IL-017,Cass County,Illinois,40.33,3.93,94,36.4
IL-019,Champaign County,Illinois,39.44,2.86,85,36.58
IL-021,Christian County,Illinois,42.04,5.18,96,36.86
IL-023,Clark County,Illinois,44.67,5.01,93,39.66
IL-025,Clay County,Illinois,49.45,9.13,112,40.32
IL-027,Clinton County,Illinois,45.65,5.92,94,39.73
IL-029,Coles County,Illinois,44.28,6.01,108,38.27
IL-031,Cook County,Illinois,32.4,-2.05,43,34.45
IL-033,Crawford County,Illinois,47.55,6.59,101,40.96
IL-035,Cumberland County,Illinois,47.01,7.55,106,39.46
IL-037,DeKalb County,Illinois,32.73,-1.91,47,34.64
IL-039,De Witt County,Illinois,37.14,0.04,65,37.1
IL-041,Douglas County,Illinois,39.39,1.98,76,37.41
IL-043,DuPage County,Illinois,33.48,-1.01,53,34.49
IL-045,Edgar County,Illinois,41,2.47,76,38.53
IL-047,Edwards County,Illinois,45.77,2.92,76,42.85
IL-049,Effingham County,Illinois,50.12,10.63,119,39.49
IL-051,Fayette County,Illinois,45.6,6.73,100,38.87
IL-053,Ford County,Illinois,39.89,4.12,89,35.77
IL-055,Franklin County,Illinois,45.82,3.61,83,42.21
IL-057,Fulton County,Illinois,35.63,0.15,62,35.48
IL-059,Gallatin County,Illinois,43.33,-1.45,48,44.78
IL-061,Greene County,Illinois,42.78,5.44,94,37.34
IL-063,Grundy County,Illinois,35.13,1.17,74,33.96
IL-065,Hamilton County,Illinois,43.92,1.27,60,42.65
IL-067,Hancock County,Illinois,35.79,0.2,67,35.59
IL-069,Hardin County,Illinois,49.87,4.13,87,45.74
IL-071,Henderson County,Illinois,32.04,-3.18,37,35.22
IL-073,Henry County,Illinois,34.52,-0.44,58,34.96
IL-075,Iroquois County,Illinois,38.07,1.77,77,36.3
IL-077,Jackson County,Illinois,47.97,4.94,93,43.03
IL-079,Jasper County,Illinois,49.39,9.11,112,40.28
IL-081,Jefferson County,Illinois,43.57,1.67,67,41.9
IL-083,Jersey County,Illinois,39.22,1.29,70,37.93
IL-085,Jo Daviess County,Illinois,32.72,-1.22,50,33.94
IL-087,Johnson County,Illinois,49.3,3.35,82,45.95
IL-089,Kane County,Illinois,33.91,-0.4,60,34.31
IL-091,Kankakee County,Illinois,35.74,0.28,63,35.46
IL-093,Kendall County,Illinois,33.68,-0.5,64,34.18
IL-095,Knox County,Illinois,38.07,2.6,86,35.47
IL-097,Lake County,Illinois,31.7,-1.45,46,33.15
IL-099,LaSalle County,Illinois,32.19,-2.01,46,34.2
IL-101,Lawrence County,Illinois,51.35,9.01,114,42.34
IL-103,Lee County,Illinois,31.69,-3.2,39,34.89
IL-105,Livingston County,Illinois,36.95,2.29,83,34.66
IL-107,Logan County,Illinois,36.85,0.63,71,36.22
IL-109,McDonough County,Illinois,35.21,-0.64,57,35.85
IL-111,McHenry County,Illinois,32.88,-1.13,49,34.01
IL-113,McLean County,Illinois,36.8,0.31,67,36.49
IL-115,Macon County,Illinois,37.37,-0.02,61,37.39
IL-117,Macoupin County,Illinois,40.48,2.45,79,38.03
IL-119,Madison County,Illinois,41.56,3.27,78,38.29
IL-121,Marion County,Illinois,48.66,8.18,109,40.48
IL-123,Marshall County,Illinois,35.87,1.16,75,34.71
IL-125,Mason County,Illinois,38.19,3.25,89,34.94
IL-127,Massac County,Illinois,51.68,4.57,94,47.11
IL-129,Menard County,Illinois,39.68,4.08,94,35.6
IL-131,Mercer County,Illinois,31.53,-3.26,36,34.79
IL-133,Monroe County,Illinois,42.22,2.61,81,39.61
IL-135,Montgomery County,Illinois,40.99,3.22,80,37.77
IL-137,Morgan County,Illinois,43.27,6.48,102,36.79
IL-139,Moultrie County,Illinois,40.48,2.52,80,37.96
IL-141,Ogle County,Illinois,29.49,-4.67,25,34.16
IL-143,Peoria County,Illinois,37.5,2.36,79,35.14
IL-145,Perry County,Illinois,46.9,5.73,99,41.17
IL-147,Piatt County,Illinois,38.36,1.24,70,37.12
IL-149,Pike County,Illinois,41.63,4.03,90,37.6
IL-151,Pope County,Illinois,50.77,4.06,83,46.71
IL-153,Pulaski County,Illinois,49.6,3.9,89,45.7
IL-155,Putnam County,Illinois,34.39,0.26,64,34.13
IL-157,Randolph County,Illinois,45.95,5.24,104,40.71
IL-159,Richland County,Illinois,48.65,7.5,107,41.15
IL-161,Rock Island County,Illinois,29.97,-4.84,29,34.81
IL-163,St. Clair County,Illinois,40.18,1.2,69,38.98
IL-165,Saline County,Illinois,43.11,-1.04,51,44.15
IL-167,Sangamon County,Illinois,39.98,3.73,91,36.25
IL-169,Schuyler County,Illinois,37.53,1.34,73,36.19
IL-171,Scott County,Illinois,43.32,6.41,101,36.91
IL-173,Shelby County,Illinois,45.13,6.69,105,38.44
IL-175,Stark County,Illinois,38.51,3.5,94,35.01
IL-177,Stephenson County,Illinois,31.28,-2.79,39,34.07
IL-179,Tazewell County,Illinois,37.24,1.41,76,35.83
IL-181,Union County,Illinois,50.22,5.15,95,45.07
IL-183,Vermilion County,Illinois,39.73,2.67,87,37.06
IL-185,Wabash County,Illinois,50.25,7.22,107,43.03
IL-187,Warren County,Illinois,33.52,-2.01,48,35.53
IL-189,Washington County,Illinois,45.19,4.38,89,40.81
IL-191,Wayne County,Illinois,43.78,1.75,63,42.03
IL-193,White County,Illinois,46,2.74,77,43.26
IL-195,Whiteside County,Illinois,30.08,-5.23,24,35.31
IL-197,Will County,Illinois,32.81,-2.53,41,35.34
IL-199,Williamson County,Illinois,48.31,4.74,90,43.57
IL-201,Winnebago County,Illinois,27.78,-6.02,20,33.8
IL-203,Woodford County,Illinois,36.42,0.93,75,35.49
IN-001,Adams County,Indiana,41.95,5.94,110,36.01
IN-003,Allen County,Indiana,41.95,6.49,110,35.46
IN-005,Bartholomew County,Indiana,50.94,9.65,116,41.29
IN-007,Benton County,Indiana,37.15,-0.23,60,37.38
IN-009,Blackford County,Indiana,41.84,4.3,97,37.54
IN-011,Boone County,Indiana,44.89,6.08,103,38.81
IN-013,Brown County,Indiana,50.91,9.04,114,41.87
IN-015,Carroll County,Indiana,38.9,1.05,76,37.85
IN-017,Cass County,Indiana,39.85,2.02,79,37.83
IN-019,Clark County,Indiana,52.88,9.65,110,43.23
IN-021,Clay County,Indiana,44.02,3.43,85,40.59
IN-023,Clinton County,Indiana,44.51,5.99,106,38.52
IN-025,Crawford County,Indiana,53.17,7.84,104,45.33
IN-027,Daviess County,Indiana,52.75,9.66,116,43.09
IN-029,Dearborn County,Indiana,48.06,6.98,104,41.08
IN-031,Decatur County,Indiana,51.34,9.74,118,41.6
IN-033,DeKalb County,Indiana,44.01,8.95,123,35.06
IN-035,Delaware County,Indiana,44.3,5.75,105,38.55
IN-037,Dubois County,Indiana,54.66,10.39,110,44.27
IN-039,Elkhart County,Indiana,37.37,2.09,82,35.28
IN-041,Fayette County,Indiana,50.56,10.4,119,40.16
IN-043,Floyd County,Indiana,53.03,9.49,107,43.54
IN-045,Fountain County,Indiana,41.69,3.64,89,38.05
IN-047,Franklin County,Indiana,49.43,8.82,116,40.61
IN-049,Fulton County,Indiana,40.49,2.9,88,37.59
IN-051,Gibson County,Indiana,49.98,6.7,100,43.28
IN-053,Grant County,Indiana,42.45,4.73,102,37.72
IN-055,Greene County,Indiana,49.6,6.92,103,42.68
IN-057,Hamilton County,Indiana,46.93,8.8,114,38.13
IN-059,Hancock County,Indiana,46.93,7.55,110,39.38
IN-061,Harrison County,Indiana,52.83,8.3,104,44.53
IN-063,Hendricks County,Indiana,43.49,3.97,92,39.52
IN-065,Henry County,Indiana,48.84,9.05,116,39.79
IN-067,Howard County,Indiana,41.44,3.7,92,37.74
IN-069,Huntington County,Indiana,43.02,5.83,109,37.19
IN-071,Jackson County,Indiana,51.93,9.56,117,42.37
IN-073,Jasper County,Indiana,36.9,0.37,59,36.53
IN-075,Jay County,Indiana,44.27,6.56,112,37.71
IN-077,Jefferson County,Indiana,49.66,6.4,97,43.26
IN-079,Jennings County,Indiana,49,6.35,99,42.65
IN-081,Johnson County,Indiana,48.95,8.27,114,40.68
IN-083,Knox County,Indiana,51.18,8.5,113,42.68
IN-085,Kosciusko County,Indiana,38.96,2.62,91,36.34
IN-087,LaGrange County,Indiana,40.27,5.25,107,35.02
IN-089,Lake County,Indiana,34.17,-1.88,45,36.05
IN-091,LaPorte County,Indiana,37.28,0.13,59,37.15
IN-093,Lawrence County,Indiana,56.73,12.79,121,43.94
IN-095,Madison County,Indiana,46.45,7.94,110,38.51
IN-097,Marion County,Indiana,45.28,6.11,102,39.17
IN-099,Marshall County,Indiana,39.27,2.12,87,37.15
IN-101,Martin County,Indiana,57.76,13.82,122,43.94
IN-103,Miami County,Indiana,40.06,2.3,84,37.76
IN-105,Monroe County,Indiana,50.61,7.79,109,42.82
IN-107,Montgomery County,Indiana,43.59,4.86,97,38.73
IN-109,Morgan County,Indiana,46.4,5.78,104,40.62
IN-111,Newton County,Indiana,38.27,1.44,70,36.83
IN-113,Noble County,Indiana,40.4,4.77,102,35.63
IN-115,Ohio County,Indiana,47.27,5.73,94,41.54
IN-117,Orange County,Indiana,56.71,11.82,116,44.89
IN-119,Owen County,Indiana,47.67,5.74,98,41.93
IN-121,Parke County,Indiana,42.54,3.68,89,38.86
IN-123,Perry County,Indiana,50.57,5.13,91,45.44
IN-125,Pike County,Indiana,52.35,8.75,111,43.6
IN-127,Porter County,Indiana,35.36,-1.17,47,36.53
IN-129,Posey County,Indiana,43.57,-0.38,55,43.95
IN-131,Pulaski County,Indiana,39.36,2.25,88,37.11
IN-133,Putnam County,Indiana,43.83,3.4,85,40.43
IN-135,Randolph County,Indiana,46.88,8.06,116,38.82
IN-137,Ripley County,Indiana,48.81,6.44,101,42.37
IN-139,Rush County,Indiana,51.26,10.77,123,40.49
IN-141,St. Joseph County,Indiana,38.93,1.7,76,37.23
IN-143,Scott County,Indiana,50.89,8.31,108,42.58
IN-145,Shelby County,Indiana,50.14,9.52,119,40.62
IN-147,Spencer County,Indiana,50.57,5.91,99,44.66
IN-149,Starke County,Indiana,39.14,1.83,81,37.31
IN-151,Steuben County,Indiana,44.9,9.85,124,35.05
IN-153,Sullivan County,Indiana,45.34,4.4,88,40.94
IN-155,Switzerland County,Indiana,47.23,4.97,90,42.26
IN-157,Tippecanoe County,Indiana,41.21,3.18,89,38.03
IN-159,Tipton County,Indiana,47.97,10.36,120,37.61
IN-161,Union County,Indiana,49.58,9.34,115,40.24
IN-163,Vanderburgh County,Indiana,44.59,0.68,66,43.91
IN-165,Vermillion County,Indiana,41.48,3.52,87,37.96
IN-167,Vigo County,Indiana,42.31,2.72,81,39.59
IN-169,Wabash County,Indiana,40.57,3.06,94,37.51
IN-171,Warren County,Indiana,38.66,1.1,74,37.56
IN-173,Warrick County,Indiana,50.94,7.14,100,43.8
IN-175,Washington County,Indiana,53.99,9.85,117,44.14
IN-177,Wayne County,Indiana,47.62,8.05,114,39.57
IN-179,Wells County,Indiana,42.25,5.51,108,36.74
IN-181,White County,Indiana,37,0.15,63,36.85
IN-183,Whitley County,Indiana,42.15,5.66,107,36.49
IA-001,Adair County,Iowa,32.23,-0.52,57,32.75
IA-003,Adams County,Iowa,31.07,-2.18,52,33.25
IA-005,Allamakee County,Iowa,35.36,2.5,83,32.86
IA-007,Appanoose County,Iowa,38.69,3.48,90,35.21
IA-009,Audubon County,Iowa,34.38,2.58,81,31.8
IA-011,Benton County,Iowa,28.04,-5.22,27,33.26
IA-013,Black Hawk County,Iowa,33.41,-0.12,65,33.53
IA-015,Boone County,Iowa,36.42,4.84,96,31.58
IA-017,Bremer County,Iowa,37.03,3.76,92,33.27
IA-019,Buchanan County,Iowa,33.75,0.48,71,33.27
IA-021,Buena Vista County,Iowa,27.17,-1.72,53,28.89
IA-023,Butler County,Iowa,35.35,2.49,87,32.86
IA-025,Calhoun County,Iowa,29.02,-1.93,44,30.95
IA-027,Carroll County,Iowa,29.64,-1.59,44,31.23
IA-029,Cass County,Iowa,31.31,-0.08,63,31.39
IA-031,Cedar County,Iowa,30.46,-4.74,29,35.2
IA-033,Cerro Gordo County,Iowa,34.76,2.96,83,31.8
IA-035,Cherokee County,Iowa,26.32,-1.99,43,28.31
IA-037,Chickasaw County,Iowa,40.02,7.6,114,32.42
IA-039,Clarke County,Iowa,34.5,0.79,73,33.71
IA-041,Clay County,Iowa,31.53,2.82,95,28.71
IA-043,Clayton County,Iowa,33.89,0.62,71,33.27
IA-045,Clinton County,Iowa,31.19,-3.83,31,35.02
IA-047,Crawford County,Iowa,27.4,-2.52,38,29.92
IA-049,Dallas County,Iowa,32.35,0.47,67,31.88
IA-051,Davis County,Iowa,35.56,0.3,68,35.26
IA-053,Decatur County,Iowa,36.25,1.97,81,34.28
IA-055,Delaware County,Iowa,34.12,0.72,72,33.4
IA-057,Des Moines County,Iowa,32.96,-2.3,43,35.26
IA-059,Dickinson County,Iowa,30.47,2.16,87,28.31
IA-061,Dubuque County,Iowa,30.35,-3.13,33,33.48
IA-063,Emmet County,Iowa,30.11,0.67,71,29.44
IA-065,Fayette County,Iowa,37.11,3.74,92,33.37
IA-067,Floyd County,Iowa,38.58,6.42,109,32.16
IA-069,Franklin County,Iowa,32.82,0.9,66,31.92
IA-071,Fremont County,Iowa,32.93,0.4,75,32.53
IA-073,Greene County,Iowa,33.85,2.26,78,31.59
IA-075,Grundy County,Iowa,34.03,0.91,74,33.12
IA-077,Guthrie County,Iowa,33.83,2.07,80,31.76
IA-079,Hamilton County,Iowa,32.56,1.51,78,31.05
IA-081,Hancock County,Iowa,32.22,0.86,69,31.36
IA-083,Hardin County,Iowa,32.87,0.85,72,32.02
IA-085,Harrison County,Iowa,29.07,-0.35,60,29.42
IA-087,Henry County,Iowa,30.14,-5.16,28,35.3
IA-089,Howard County,Iowa,37.28,4.63,103,32.65
IA-091,Humboldt County,Iowa,24.55,-6.02,21,30.57
IA-093,Ida County,Iowa,25.11,-3.85,31,28.96
IA-095,Iowa County,Iowa,29.45,-4.39,30,33.84
IA-097,Jackson County,Iowa,32.65,-1.48,48,34.13
IA-099,Jasper County,Iowa,28.25,-4.82,30,33.07
IA-101,Jefferson County,Iowa,29.04,-5.91,24,34.95
IA-103,Johnson County,Iowa,30.55,-3.25,39,33.8
IA-105,Jones County,Iowa,31.38,-2.31,41,33.69
IA-107,Keokuk County,Iowa,29.96,-4.09,37,34.05
IA-109,Kossuth County,Iowa,27.92,-2.36,47,30.28
IA-111,Lee County,Iowa,33.95,-1.6,51,35.55
IA-113,Linn County,Iowa,30.56,-2.51,42,33.07
IA-115,Louisa County,Iowa,28.35,-6.15,24,34.5
IA-117,Lucas County,Iowa,37.12,3.25,86,33.87
IA-119,Lyon County,Iowa,27.59,1.13,81,26.46
IA-121,Madison County,Iowa,30.34,-2.61,48,32.95
IA-123,Mahaska County,Iowa,30.93,-2.93,49,33.86
IA-125,Marion County,Iowa,32.74,-0.85,61,33.59
IA-127,Marshall County,Iowa,30.02,-2.6,41,32.62
IA-129,Mills County,Iowa,31.96,0.18,72,31.78
IA-131,Mitchell County,Iowa,37.64,5.6,105,32.04
IA-133,Monona County,Iowa,23.78,-4.92,22,28.7
IA-135,Monroe County,Iowa,34.8,0.51,73,34.29
IA-137,Montgomery County,Iowa,32.02,-0.55,62,32.57
IA-139,Muscatine County,Iowa,28.68,-5.87,23,34.55
IA-141,O&#039;Brien County,Iowa,28.38,0.2,69,28.18
IA-143,Osceola County,Iowa,28.18,0.33,72,27.85
IA-145,Page County,Iowa,32.76,-0.69,64,33.45
IA-147,Palo Alto County,Iowa,29.43,-0.26,62,29.69
IA-149,Plymouth County,Iowa,21.98,-5.31,17,27.29
IA-151,Pocahontas County,Iowa,26.86,-3.15,38,30.01
IA-153,Polk County,Iowa,33.6,1.52,76,32.08
IA-155,Pottawattamie County,Iowa,30.91,-0.06,69,30.97
IA-157,Poweshiek County,Iowa,30.49,-3.6,40,34.09
IA-159,Ringgold County,Iowa,34.4,-0.24,64,34.64
IA-161,Sac County,Iowa,26.48,-3.18,38,29.66
IA-163,Scott County,Iowa,29.92,-5.03,25,34.95
IA-165,Shelby County,Iowa,31.63,0.63,66,31
IA-167,Sioux County,Iowa,25.38,-1.48,49,26.86
IA-169,Story County,Iowa,37.78,5.91,104,31.87
IA-171,Tama County,Iowa,30.48,-3.63,36,34.11
IA-173,Taylor County,Iowa,32.46,-1.96,50,34.42
IA-175,Union County,Iowa,33.57,-0.38,62,33.95
IA-177,Van Buren County,Iowa,31.59,-3.52,39,35.11
IA-179,Wapello County,Iowa,30.73,-3.8,34,34.53
IA-181,Warren County,Iowa,32.84,-0.09,59,32.93
IA-183,Washington County,Iowa,28.47,-5.86,23,34.33
IA-185,Wayne County,Iowa,38.77,3.7,91,35.07
IA-187,Webster County,Iowa,28.57,-2.62,36,31.19
IA-189,Winnebago County,Iowa,29.98,-1.4,55,31.38
IA-191,Winneshiek County,Iowa,35.53,2.36,86,33.17
IA-193,Woodbury County,Iowa,21.27,-6.54,9,27.81
IA-195,Worth County,Iowa,33.95,2,76,31.95
IA-197,Wright County,Iowa,30.78,-0.27,57,31.05
KS-001,Allen County,Kansas,43.49,4.21,89,39.28
KS-003,Anderson County,Kansas,42.67,3.46,85,39.21
KS-005,Atchison County,Kansas,32.62,-2.6,47,35.22
KS-007,Barber County,Kansas,23.34,-2.66,41,26
KS-009,Barton County,Kansas,22.58,-2.22,42,24.8
KS-011,Bourbon County,Kansas,42.42,2.02,79,40.4
KS-013,Brown County,Kansas,31.25,-3.23,49,34.48
KS-015,Butler County,Kansas,36.82,3.49,87,33.33
KS-017,Chase County,Kansas,39.15,6.36,102,32.79
KS-019,Chautauqua County,Kansas,35.78,-1.11,55,36.89
KS-021,Cherokee County,Kansas,41.61,-0.08,65,41.69
KS-023,Cheyenne County,Kansas,9.54,-9.25,2,18.79
KS-025,Clark County,Kansas,15.22,-7.09,10,22.31
KS-027,Clay County,Kansas,26.8,-3.47,43,30.27
KS-029,Cloud County,Kansas,23.49,-4.62,33,28.11
KS-031,Coffey County,Kansas,39.75,2.71,87,37.04
KS-033,Comanche County,Kansas,18.27,-5.83,17,24.1
KS-035,Cowley County,Kansas,37.41,3.63,82,33.78
KS-037,Crawford County,Kansas,41.5,0.42,68,41.08
KS-039,Decatur County,Kansas,12.2,-8.64,3,20.84
KS-041,Dickinson County,Kansas,30.33,-0.47,62,30.8
KS-043,Doniphan County,Kansas,31.24,-4.22,45,35.46
KS-045,Douglas County,Kansas,40.19,3.89,90,36.3
KS-047,Edwards County,Kansas,20.54,-2.19,38,22.73
KS-049,Elk County,Kansas,39.41,2.89,82,36.52
KS-051,Ellis County,Kansas,18.86,-4.25,25,23.11
KS-053,Ellsworth County,Kansas,25.29,-1.43,52,26.72
KS-055,Finney County,Kansas,10.9,-7.83,5,18.73
KS-057,Ford County,Kansas,16.97,-4.67,20,21.64
KS-059,Franklin County,Kansas,38.86,1.37,75,37.49
KS-061,Geary County,Kansas,30.96,-1.72,58,32.68
KS-063,Gove County,Kansas,12.84,-6.9,8,19.74
KS-065,Graham County,Kansas,13.28,-8.6,4,21.88
KS-067,Grant County,Kansas,12.71,-4.92,18,17.63
KS-069,Gray County,Kansas,12.18,-7.87,7,20.05
KS-071,Greeley County,Kansas,12.28,-4.58,16,16.86
KS-073,Greenwood County,Kansas,41.48,6.08,98,35.4
KS-075,Hamilton County,Kansas,12.55,-3.89,21,16.44
KS-077,Harper County,Kansas,25.48,-2.91,46,28.39
KS-079,Harvey County,Kansas,32.94,1.86,83,31.08
KS-081,Haskell County,Kansas,12.07,-7.14,8,19.21
KS-083,Hodgeman County,Kansas,16.66,-3.97,24,20.63
KS-085,Jackson County,Kansas,31.32,-2.96,50,34.28
KS-087,Jefferson County,Kansas,37.09,1.6,75,35.49
KS-089,Jewell County,Kansas,22.43,-3.69,37,26.12
KS-091,Johnson County,Kansas,38.65,1.48,77,37.17
KS-093,Kearny County,Kansas,11.88,-5.49,11,17.37
KS-095,Kingman County,Kansas,28.48,0.5,63,27.98
KS-097,Kiowa County,Kansas,20.32,-3.33,35,23.65
KS-099,Labette County,Kansas,39.24,-0.98,63,40.22
KS-101,Lane County,Kansas,12.5,-7.18,9,19.68
KS-103,Leavenworth County,Kansas,39.06,3.25,87,35.81
KS-105,Lincoln County,Kansas,23.93,-1.88,49,25.81
KS-107,Linn County,Kansas,42.89,2.75,82,40.14
KS-109,Logan County,Kansas,14.05,-4.28,17,18.33
KS-111,Lyon County,Kansas,39.32,4.45,96,34.87
KS-113,McPherson County,Kansas,29.05,-0.43,63,29.48
KS-115,Marion County,Kansas,31.74,-0.1,73,31.84
KS-117,Marshall County,Kansas,26.88,-4.55,34,31.43
KS-119,Meade County,Kansas,15.13,-5.3,19,20.43
KS-121,Miami County,Kansas,38.81,-0.07,64,38.88
KS-123,Mitchell County,Kansas,20.86,-4.71,29,25.57
KS-125,Montgomery County,Kansas,36.57,-1.31,53,37.88
KS-127,Morris County,Kansas,33.52,0.34,70,33.18
KS-129,Morton County,Kansas,11.48,-5.44,16,16.92
KS-131,Nemaha County,Kansas,28.11,-5.06,34,33.17
KS-133,Neosho County,Kansas,43.68,3.82,90,39.86
KS-135,Ness County,Kansas,15.25,-5.76,12,21.01
KS-137,Norton County,Kansas,14.92,-7.08,8,22
KS-139,Osage County,Kansas,39.52,3.76,93,35.76
KS-141,Osborne County,Kansas,19.69,-4.21,32,23.9
KS-143,Ottawa County,Kansas,24.42,-3.47,44,27.89
KS-145,Pawnee County,Kansas,18.82,-4.11,25,22.93
KS-147,Phillips County,Kansas,17.43,-5.74,13,23.17
KS-149,Pottawatomie County,Kansas,31.61,-1.45,62,33.06
KS-151,Pratt County,Kansas,22.72,-2.54,42,25.26
KS-153,Rawlins County,Kansas,8.83,-10.96,1,19.79
KS-155,Reno County,Kansas,27.33,-0.24,60,27.57
KS-157,Republic County,Kansas,25.31,-2.63,47,27.94
KS-159,Rice County,Kansas,25.86,-0.92,58,26.78
KS-161,Riley County,Kansas,30.96,-0.85,65,31.81
KS-163,Rooks County,Kansas,17.16,-5.86,14,23.02
KS-165,Rush County,Kansas,19.28,-3.52,28,22.8
KS-167,Russell County,Kansas,22.06,-2.44,38,24.5
KS-169,Saline County,Kansas,27.71,-1.17,58,28.88
KS-171,Scott County,Kansas,11.15,-7.56,3,18.71
KS-173,Sedgwick County,Kansas,32.56,1.88,80,30.68
KS-175,Seward County,Kansas,13.36,-5.84,14,19.2
KS-177,Shawnee County,Kansas,36.25,1.42,79,34.83
KS-179,Sheridan County,Kansas,11.99,-8.81,6,20.8
KS-181,Sherman County,Kansas,10.73,-7.45,3,18.18
KS-183,Smith County,Kansas,19.83,-4.11,30,23.94
KS-185,Stafford County,Kansas,23.39,-1.42,51,24.81
KS-187,Stanton County,Kansas,12.09,-4.44,18,16.53
KS-189,Stevens County,Kansas,13.37,-4.76,19,18.13
KS-191,Sumner County,Kansas,30.56,-0.6,63,31.16
KS-193,Thomas County,Kansas,10.74,-8.76,2,19.5
KS-195,Trego County,Kansas,14.18,-7.34,11,21.52
KS-197,Wabaunsee County,Kansas,35.7,1.39,79,34.31
KS-199,Wallace County,Kansas,12.14,-5.42,9,17.56
KS-201,Washington County,Kansas,27.01,-2.67,50,29.68
KS-203,Wichita County,Kansas,12.5,-5.25,10,17.75
KS-205,Wilson County,Kansas,44.92,7.12,100,37.8
KS-207,Woodson County,Kansas,41.4,3.84,91,37.56
KS-209,Wyandotte County,Kansas,36.25,0.02,64,36.23
KY-001,Adair County,Kentucky,54.03,3.74,83,50.29
KY-003,Allen County,Kentucky,54.87,4.56,89,50.31
KY-005,Anderson County,Kentucky,59.28,13.53,124,45.75
KY-007,Ballard County,Kentucky,51.87,5.55,95,46.32
KY-009,Barren County,Kentucky,57.84,7.29,105,50.55
KY-011,Bath County,Kentucky,54.56,8.68,113,45.88
KY-013,Bell County,Kentucky,53,1.26,65,51.74
KY-015,Boone County,Kentucky,47.74,6.24,95,41.5
KY-017,Bourbon County,Kentucky,53.06,8.2,110,44.86
KY-019,Boyd County,Kentucky,48.91,6.85,107,42.06
KY-021,Boyle County,Kentucky,56.98,9.02,112,47.96
KY-023,Bracken County,Kentucky,54.18,10.09,120,44.09
KY-025,Breathitt County,Kentucky,51.7,5.28,93,46.42
KY-027,Breckinridge County,Kentucky,53.52,6.76,101,46.76
KY-029,Bullitt County,Kentucky,57.37,11.9,116,45.47
KY-031,Butler County,Kentucky,50.38,2.32,76,48.06
KY-033,Caldwell County,Kentucky,52.3,4.9,89,47.4
KY-035,Calloway County,Kentucky,56.59,7.55,100,49.04
KY-037,Campbell County,Kentucky,48.58,6.75,103,41.83
